Date,Close,Volume
2015-01-09,31.79264832,27556800
2015-01-22,32.96807098,23913000
2015-01-23,35.15159988,38107200
2015-03-19,39.09502792,22020600
2015-03-20,38.97505188,17360600
2015-04-24,41.46248245,22284900
2015-08-21,42.51366043,20211500
2015-08-24,40.50221634,27158800
2015-08-25,41.1056633,19659000
2015-10-30,50.34215927,16822300
2015-12-18,47.31679916,18099500
2016-01-20,45.9446106,22786400
2016-01-21,47.64774704,20888500
2016-01-22,47.76074982,32820200
2016-02-05,44.12687683,24529000
2016-02-08,43.84344864,21457500
2016-04-12,48.1840744,17565800
2016-04-22,46.710186,29836700
2016-07-22,47.05242538,23899300
2016-11-03,42.2173996,21847300
2016-11-04,43.01654816,21956800
2016-12-02,46.8697052,16870000
2017-01-27,45.97671509,28884900
2017-02-01,44.1579628,18796900
2017-03-09,45.41854858,17844200
2017-04-28,49.42632675,25046100
2017-07-27,49.16717148,23286700
2017-07-28,44.62230682,53454800
2017-07-31,44.60577774,20299400
2017-08-01,45.22553253,18120900
2017-08-09,44.60791779,16717700
2017-11-02,45.54589462,16879000
2017-11-03,46.5087738,28773800
2017-12-15,48.64105606,22595000
2018-01-26,48.390728,51851700
2018-01-29,47.58128357,18899900
2018-02-06,46.40468216,17415100
2018-02-08,45.11262894,17736700
2018-02-09,45.79222107,19382000
2018-04-02,47.1849556,16778300
2018-06-05,46.95939255,18278800
2018-06-20,44.04129028,62091100
2018-06-21,42.69189453,30723000
2018-06-22,43.21479034,24429600
2018-06-28,40.93765259,33210100
2018-06-29,41.19910049,17413000
2018-07-13,43.53526688,21718400
2018-07-16,42.96177292,16974900
2018-09-21,48.78950882,25800500
2018-10-09,49.01031113,24855700
2018-11-01,49.79161072,18772400
2018-11-02,54.62384796,45573000
2018-11-05,54.75972366,23242600
2018-11-13,57.2480278,16637000
2018-11-30,56.96628571,27308900
2018-12-06,56.82114029,17222200
2018-12-14,55.78802109,16834000
2018-12-20,53.06436539,20264600
2018-12-21,52.41546249,23524900
2018-12-26,53.85839844,16646200
2019-01-24,55.27572632,29719800
2019-01-25,57.28219223,21885800
2019-01-31,58.17871094,24233300
2019-02-28,60.30184555,18956700
2019-07-26,85.45749664,20846500
2020-01-29,75.43282318,17678700
2020-02-27,68.41743469,17120800
2020-02-28,68.5397644,19108600
2020-03-06,65.83942413,18080100
2020-03-10,65.42870331,18414000
2020-03-11,59.68720245,17138000
2020-03-12,54.26903915,25170600
2020-03-13,61.10290527,19247200
2020-03-16,51.20166016,23354300
2020-03-17,51.54246521,25045200
2020-03-18,49.22665024,28770600
2020-03-19,53.66604614,25167400
2020-03-20,50.71226883,28420600
2020-03-23,49.41889954,24905800
2020-03-24,56.69847488,28286200
2020-03-25,57.51119614,22977200
2020-03-26,61.0854454,20997500
2020-03-27,57.9743576,18950500
2020-03-31,57.45001602,20109800
2020-04-02,56.8033371,18175000
2020-04-06,59.24151611,18010800
2020-04-09,64.56352997,19748100
2020-04-29,67.16776276,24575500
2020-06-10,69.43683624,19683800
2020-06-11,63.77713013,26422200
2020-06-12,67.12550354,18529800
2020-06-26,62.89830399,17627800
2020-08-25,73.0927887,17659500
2021-01-27,86.88739014,18139500
2021-03-19,94.80883026,21452000
2021-10-29,95.31285858,27419600
2022-01-20,86.38339233,20311500
2022-01-24,88.53123474,17201400
2022-03-14,71.91882324,18199300
2022-03-16,79.28393555,21207900
2022-03-18,81.27032471,23784200
2022-04-05,76.29976654,17525800
2022-05-04,74.05033875,30199700
2022-05-05,70.27707672,19114700
2022-05-13,69.05480957,18156300
2022-05-31,71.70374298,23361800
2022-06-24,71.34751892,18012000
2022-09-14,85.15679932,24320600
2022-11-04,84.38516235,20194300
2023-05-03,96.53070068,24388600
2023-06-23,91.76698303,18770100
2023-07-21,95.94754028,20370300
2023-11-02,93.82302856,23396300
2024-01-30,88.74487305,17625200
2024-01-31,87.75440979,26751800
2024-03-15,85.52090454,18136300
2024-05-01,70.64109802,66610700
2024-05-02,71.10609436,23883400
2024-05-03,69.37896729,22153800
2024-05-06,69.17967987,18632200
2024-05-07,68.8000946,21901300
2024-05-08,69.74906921,24482600
2024-05-09,71.81781006,18591500
2024-05-22,77.18177032,22072200
2024-06-21,76.40727234,25648400
2024-07-19,75.79531097,32965900
2024-07-22,73.19455719,18851500
2024-07-25,70.10612488,18973600
2024-07-31,74.53318024,18901100
2024-08-01,71.8176651,17307200
2024-08-13,91.69638062,157215500
2024-08-14,89.78403473,45737800
2024-08-15,90.72107697,21109800
2024-08-27,94.84783173,17456300
2024-09-11,94.46305084,19302900
2024-09-20,92.39487457,19541000
2024-10-23,93.93398285,18858800
2024-12-20,85.14575958,26477500
2025-01-29,105.0940933,40769300
2025-01-31,104.2229843,19136900
2025-04-03,85.89011383,20490100
2025-04-04,79.89551544,19700100
2025-04-07,77.85189819,26099400
2025-04-08,77.55023193,20534600
2025-04-09,86.29883575,26668100
2025-04-30,77.90055847,41297000
2025-05-01,79.80792999,18326700
2025-05-12,83.36965179,17241500
2025-06-27,90.2677536,21491600
2025-07-29,91.10076141,20923600
2025-07-30,90.90476227,44794700
2025-07-31,87.37676239,16565400
2025-10-30,82.02463531,18337500
2025-11-04,78.52267456,17774600
2025-11-05,81.75827789,17996200
2025-12-19,87.7640152,16986700
2026-01-21,95.8121109,17118100
2026-01-28,94.55025482,25961600
2026-01-29,93.27845001,16602900
